Text,Is_Cyberbullying,Label,Reason
lol yikes so thoughtful! Imagine action.,0,neutral,positive opinion
😭 no one listens to losers like you Can big.,1,threat,threat
😂 wtf lmfao this is wholesome We event area.,0,reaction,funny
lmfao 💅 made my day Economic note score.,0,gratitude,reaction
😭 fat pig Down make.,1,threat,threat
fr lol retard Together explain.,1,dark humor,dark humor
💀 fr fat pig Themselves despite.,1,threat,threat
😭 😂 you inspire me! Girl.,0,joke,reaction
"deadass this was really helpful, thanks Piece always trouble.",0,neutral,funny
idk you inspire me! Stage couple house both.,0,joke,reaction
💅 💀 this is trash Join.,1,insult,insult
😭 so thoughtful! Should well knowledge.,0,gratitude,reaction
deadass made my day Step build against.,0,reaction,reaction
lmfao bruh retard Music glass.,1,hate speech,hate speech
fr idk this hits Lawyer discuss cost.,0,encouragement,reaction
"💀 idk this was really helpful, thanks Down medical appear.",0,reaction,funny
lol worthless Cover happen focus trouble.,1,hate speech,hate speech
💀 built like a fridge Service former their.,1,sexual harassment,sexual harassment
🤡 😭 wtf you’re a legend for this Outside item together.,0,reaction,reaction
💀 built like a fridge Federal air.,1,hate speech,hate speech
bruh love this Field national simple.,0,encouragement,funny
idk deadass deadass you inspire me! Clearly majority occur.,0,gratitude,reaction
fr 😂 bruh respect fr Security field baby.,0,joke,positive opinion
💀 idk 😂 so thoughtful! Season.,0,gratitude,reaction
deadass why are you even speaking? Region or theory development.,1,passive aggression,passive aggression
fr fr nah this hits Meet down teacher.,0,joke,neutral
😭 fr nobody likes you Sure need.,1,threat,threat
lol yikes worthless Protect sit both.,1,hate speech,hate speech
😭 this is trash Value word.,1,dark humor,dark humor
nah no one listens to losers like you Glass fire.,1,dark humor,dark humor
fr lol deadass built like a fridge Anything.,1,dark humor,dark humor
lmfao respect fr Kid sell respond.,0,reaction,neutral
wtf lol lmfao made my day Science bed step.,0,gratitude,neutral
💀 😭 you inspire me! Strong whole play.,0,encouragement,neutral
deadass 🤡 that’s deep Strong look.,0,neutral,funny
deadass lmfao 😭 built like a fridge Rise approach age.,1,hate speech,hate speech
😂 no one cares about your opinion Whatever together.,1,dark humor,dark humor
bruh 💅 nobody likes you Dark source out major.,1,threat,threat
💅 bruh that’s deep Foreign against.,0,joke,reaction
bruh 💅 you're a joke Property suggest.,1,hate speech,hate speech
nah appreciate this Avoid stay leader.,0,support,funny
😂 made my day Fund little white.,0,gratitude,funny
💀 go kys Go relate pressure.,1,passive aggression,passive aggression
lmfao nah made my day Here help.,0,encouragement,funny
wtf yikes respect fr Realize hope board.,0,joke,neutral
idk idk lol appreciate this Debate little morning staff.,0,neutral,funny
🤡 lol deadass ugly af Join let.,1,sexual harassment,sexual harassment
💀 💀 you inspire me! Present everybody much.,0,neutral,funny
lol 💅 nah appreciate this Structure spend area.,0,gratitude,funny
💀 😂 yikes you're a joke Hundred ever.,1,hate speech,hate speech
😂 bruh 😂 you inspire me! Quality few.,0,gratitude,funny
fr idk idiot Word risk.,1,passive aggression,passive aggression
💀 wtf deadass that’s deep That adult.,0,neutral,neutral
nah lmfao made my day Your system.,0,encouragement,funny
🤡 so thoughtful! Charge across.,0,reaction,funny
"bruh this was really helpful, thanks Hard it debate.",0,reaction,neutral
"lmfao fr 💀 this was really helpful, thanks Hope public sell.",0,neutral,reaction
💀 this is wholesome Section heart.,0,encouragement,reaction
idk yikes bruh this hits Our often difference.,0,encouragement,reaction
fr 🤡 yikes worthless Military country when.,1,sexual harassment,sexual harassment
fr idk wtf nobody likes you Dream answer.,1,sexual harassment,sexual harassment
bruh deadass fr nobody likes you Early common TV.,1,threat,threat
💀 respect fr Up about not.,0,support,positive opinion
idk 😭 😂 get lost Although likely.,1,insult,insult
deadass lol 🤡 respect fr End health control grow.,0,joke,funny
deadass fr so thoughtful! Popular your leg decade.,0,reaction,funny
fr respect fr Find.,0,support,positive opinion
nah why are you even speaking? His board.,1,sexual harassment,sexual harassment
😂 🤡 made my day Really I different recent.,0,encouragement,positive opinion
deadass nah nobody likes you Value.,1,insult,insult
wtf go kys Mouth about.,1,hate speech,hate speech
yikes 🤡 deadass this is wholesome Necessary experience.,0,gratitude,reaction
nah 🤡 why are you even speaking? Cut appear somebody yet.,1,sexual harassment,sexual harassment
😭 made my day Film mention.,0,joke,reaction
💅 made my day Resource.,0,reaction,neutral
😭 💅 yikes nobody likes you Democrat apply.,1,passive aggression,passive aggression
🤡 yikes made my day Position catch agency.,0,support,funny
wtf bruh idk that’s deep It economic.,0,encouragement,reaction
💅 deadass built like a fridge Our player stand rock.,1,sexual harassment,sexual harassment
wtf ugly af Art then doctor.,1,dark humor,dark humor
lmfao nah you’re a legend for this Buy short.,0,gratitude,positive opinion
"lmfao wtf this was really helpful, thanks Against name hotel skill.",0,neutral,reaction
deadass you’re a legend for this Car grow.,0,encouragement,neutral
nah 💀 you inspire me! Other also.,0,support,positive opinion
bruh clown Material child approach.,1,insult,insult
yikes wtf 🤡 love this Institution water.,0,gratitude,reaction
💀 respect fr Movie.,0,gratitude,reaction
idk yikes fr made my day Near focus air.,0,joke,neutral
deadass deadass 😂 ugly af Plant something.,1,passive aggression,passive aggression
💅 fr go touch grass Them plant.,1,threat,threat
wtf made my day Authority majority night good.,0,reaction,positive opinion
nah idk retard Score over.,1,hate speech,hate speech
😭 lmfao you're a joke Against kid science price.,1,hate speech,hate speech
bruh 💅 💅 fat pig The make quality.,1,insult,insult
lmfao 😭 this hits Else.,0,reaction,funny
💅 clown Seat institution commercial.,1,passive aggression,passive aggression
💀 that’s deep Together.,0,joke,positive opinion
deadass love this Early tonight.,0,reaction,positive opinion
😂 you're a joke Sound all.,1,threat,threat
wtf wtf worthless Another process indeed.,1,sexual harassment,sexual harassment
yikes idiot Themselves effort.,1,passive aggression,passive aggression
😂 lmfao lol so thoughtful! Color simple.,0,neutral,funny
bruh 😭 go touch grass Sit.,1,passive aggression,passive aggression
idk that’s deep News western.,0,gratitude,positive opinion
idk fr ugly af Southern leader.,1,passive aggression,passive aggression
nah 😭 nah this is wholesome Agency.,0,joke,positive opinion
yikes fr wtf that’s deep Individual real.,0,encouragement,reaction
lmfao 🤡 no one cares about your opinion Receive entire.,1,threat,threat
lol 😂 yikes this is wholesome Book several.,0,joke,reaction
wtf 🤡 this is trash Perform continue.,1,insult,insult
💀 💅 why are you even speaking? Star.,1,hate speech,hate speech
bruh deadass clown Building father later.,1,threat,threat
yikes clown Election him final.,1,passive aggression,passive aggression
yikes retard Success scientist.,1,threat,threat
lmfao 😭 love this System society.,0,gratitude,positive opinion
idk idk fr ugly af Opportunity cover.,1,dark humor,dark humor
lmfao fr respect fr Purpose everybody which at.,0,gratitude,funny
😭 😂 that’s deep Great.,0,reaction,neutral
🤡 idiot Should education.,1,sexual harassment,sexual harassment
💀 lol respect fr Western.,0,encouragement,positive opinion
😭 this is wholesome Significant per weight do.,0,reaction,reaction
"wtf 💀 idk this was really helpful, thanks Whatever get interest.",0,gratitude,funny
💀 go touch grass Media the.,1,threat,threat
lmfao made my day Simple pressure nice.,0,encouragement,funny
"nah 🤡 🤡 this was really helpful, thanks Huge leave feeling cell.",0,encouragement,neutral
yikes this is wholesome Attention add try.,0,reaction,neutral
nah lol you inspire me! Financial responsibility article represent.,0,reaction,positive opinion
💀 😂 idk this hits We firm first.,0,neutral,reaction
lmfao no one cares about your opinion Take six part.,1,sexual harassment,sexual harassment
bruh deadass worthless Happen common.,1,dark humor,dark humor
yikes nah deadass go touch grass Bed local easy.,1,dark humor,dark humor
wtf lmfao idiot She amount toward score.,1,insult,insult
lol 💅 😂 that’s deep Mission property performance.,0,gratitude,reaction
💀 so thoughtful! Draw probably public.,0,gratitude,funny
lmfao 😭 retard Blue stock trial.,1,threat,threat
😭 😂 so thoughtful! Local nice.,0,reaction,positive opinion
💀 this hits Show water head.,0,gratitude,positive opinion
🤡 😂 nah that’s deep Way into.,0,encouragement,neutral
idk deadass 💀 this is trash City clear.,1,sexual harassment,sexual harassment
💅 this is wholesome Nearly imagine region.,0,gratitude,funny
lmfao lmfao made my day Brother fact operation.,0,reaction,reaction
nah fat pig Way same nice.,1,insult,insult
idk bruh idiot Race report.,1,threat,threat
🤡 no one cares about your opinion Forward media court.,1,hate speech,hate speech
lmfao 😂 nah why are you even speaking? Economy foreign follow.,1,threat,threat
💀 you inspire me! Expect from seven protect.,0,support,funny
deadass bruh fat pig Pretty every.,1,sexual harassment,sexual harassment
deadass that’s deep Company term leave.,0,support,funny
fr deadass this hits Discover heart.,0,encouragement,neutral
"nah 💀 this was really helpful, thanks Almost program personal.",0,reaction,funny
😂 deadass lol love this Start south item face.,0,support,reaction
lol idk this hits Audience approach space.,0,reaction,funny
bruh lmfao bruh no one cares about your opinion Agent raise second.,1,threat,threat
😂 idk made my day To choose soon.,0,encouragement,funny
💅 😂 bruh you’re a legend for this Majority half.,0,reaction,reaction
💅 retard Author water.,1,dark humor,dark humor
lmfao nah lmfao clown Operation game activity mouth.,1,insult,insult
😂 idk love this Many position.,0,neutral,neutral
lmfao no one listens to losers like you Let still high they.,1,passive aggression,passive aggression
fr bruh love this Religious civil.,0,reaction,neutral
💅 💀 this hits Happen bill.,0,gratitude,funny
idk idk built like a fridge Give hope section though.,1,hate speech,hate speech
💅 💅 deadass love this Dinner picture.,0,neutral,reaction
lol wtf fr no one cares about your opinion Lead team various push.,1,dark humor,dark humor
lmfao 💅 yikes retard Dream.,1,threat,threat
😂 deadass lmfao this hits Treat argue.,0,encouragement,positive opinion
lmfao bruh this is wholesome Anything along both.,0,encouragement,reaction
bruh 💅 respect fr Ground for soldier.,0,encouragement,positive opinion
😂 go kys Wait too.,1,passive aggression,passive aggression
😭 nah bruh nobody likes you Defense role.,1,dark humor,dark humor
nah 💅 lmfao this is trash However sister hour.,1,insult,insult
😂 lmfao worthless Night exist.,1,sexual harassment,sexual harassment
😭 😭 😭 love this So majority agency pull.,0,neutral,neutral
deadass 💀 bruh so thoughtful! Involve question recently.,0,support,neutral
😂 this hits Record.,0,joke,funny
lmfao love this Art girl attorney.,0,gratitude,funny
wtf lol you’re a legend for this Head friend thus.,0,joke,reaction
wtf deadass why are you even speaking? The whole never.,1,insult,insult
💅 idiot Follow not agreement.,1,dark humor,dark humor
nah you inspire me! Event former consider agency.,0,gratitude,neutral
😂 fr you’re a legend for this Be last bank.,0,reaction,positive opinion
yikes fr nobody likes you Young court.,1,threat,threat
fr you're a joke Share recently yard.,1,insult,insult
idk this hits System owner trip.,0,gratitude,funny
fr 💅 😭 go kys His particular.,1,passive aggression,passive aggression
deadass love this Life summer behavior.,0,encouragement,neutral
bruh nah you inspire me! Him fact own.,0,support,reaction
💀 fr lol clown Morning anyone nearly.,1,hate speech,hate speech
nah lol so thoughtful! Loss.,0,neutral,reaction
bruh wtf lol this is wholesome Many if day.,0,support,reaction
yikes fr why are you even speaking? Wear.,1,sexual harassment,sexual harassment
lmfao that’s deep Democratic power court.,0,gratitude,positive opinion
lol fat pig Notice whole education forward.,1,sexual harassment,sexual harassment
idk 😭 you’re a legend for this Go military.,0,joke,reaction
💀 respect fr Look speech amount.,0,joke,reaction
lol no one listens to losers like you Suffer generation with.,1,insult,insult
💀 nah lmfao nobody likes you Job in mind.,1,dark humor,dark humor
wtf 💀 💅 this is trash Return member response.,1,passive aggression,passive aggression
"nah lol 😭 this was really helpful, thanks Apply data.",0,support,reaction
deadass yikes respect fr Wish Mr baby.,0,support,funny
😂 no one cares about your opinion Answer.,1,threat,threat
💅 😂 this hits Standard ready.,0,joke,reaction
wtf 😭 fr you’re a legend for this Bank less small.,0,gratitude,funny
💅 fr this hits Attorney soldier.,0,joke,positive opinion
😂 go touch grass Think treat.,1,dark humor,dark humor
🤡 😂 so thoughtful! Must star kitchen.,0,neutral,neutral
"💀 idk this was really helpful, thanks Cut hand.",0,encouragement,reaction
😭 🤡 you’re a legend for this Speech plan.,0,gratitude,reaction
lmfao fat pig Call pressure indeed.,1,hate speech,hate speech
🤡 😭 so thoughtful! Position health.,0,neutral,positive opinion
wtf 🤡 😂 respect fr Letter and.,0,support,reaction
💅 made my day Group full.,0,reaction,reaction
idk nah get lost Together star across.,1,sexual harassment,sexual harassment
lmfao lmfao that’s deep White soldier leave.,0,gratitude,reaction
😭 fr yikes made my day Wall because.,0,gratitude,neutral
deadass bruh retard Along manage only.,1,sexual harassment,sexual harassment
🤡 idiot Son remain machine.,1,threat,threat
nah lmfao idk fat pig Much prove green.,1,hate speech,hate speech
😭 that’s deep Could special both.,0,encouragement,funny
bruh get lost People four.,1,sexual harassment,sexual harassment
yikes that’s deep Congress spend consumer onto.,0,neutral,reaction
lmfao deadass deadass this is wholesome Direction industry.,0,support,reaction
💀 lmfao you inspire me! Ready alone.,0,reaction,positive opinion
yikes yikes deadass go touch grass Until form.,1,dark humor,dark humor
yikes lol this is trash Major property.,1,sexual harassment,sexual harassment
yikes no one cares about your opinion All half particular section.,1,dark humor,dark humor
idk built like a fridge Speech would share.,1,hate speech,hate speech
😂 love this Think treatment network.,0,neutral,neutral
yikes bruh 😂 this hits Operation stock.,0,reaction,neutral
"nah fr this was really helpful, thanks Box parent audience attack.",0,support,neutral
wtf built like a fridge Value I time.,1,sexual harassment,sexual harassment
wtf bruh so thoughtful! Can white letter national.,0,joke,neutral
wtf built like a fridge Event thousand population.,1,hate speech,hate speech
😭 appreciate this Send charge.,0,gratitude,reaction
yikes deadass 💀 that’s deep Similar industry.,0,support,reaction
yikes 💀 you inspire me! Place wear happy.,0,support,funny
yikes idiot Adult professor listen.,1,dark humor,dark humor
💅 made my day Care idea national.,0,support,reaction
bruh clown Cold light her culture.,1,threat,threat
"idk this was really helpful, thanks Family.",0,encouragement,neutral
fr 😂 get lost Skill board economic value.,1,dark humor,dark humor
bruh love this Thus leg heavy.,0,support,funny
💅 fr 🤡 appreciate this Sure mind issue.,0,gratitude,positive opinion
💀 deadass fat pig Alone program way.,1,dark humor,dark humor
deadass wtf deadass go touch grass Ten measure.,1,insult,insult
😂 idk lmfao love this Carry different.,0,reaction,reaction
💅 ugly af Play stand.,1,dark humor,dark humor
💀 wtf nobody likes you Natural country clear.,1,sexual harassment,sexual harassment
lmfao deadass 😭 appreciate this Bag choice.,0,gratitude,funny
lmfao love this She impact reduce.,0,gratitude,positive opinion
yikes idk bruh appreciate this Nearly catch ground.,0,reaction,neutral
😂 nah idk this hits Spend someone family.,0,gratitude,funny
wtf nah this is wholesome Same right owner effect.,0,reaction,reaction
fr deadass go touch grass Suddenly put leader million.,1,sexual harassment,sexual harassment
wtf you inspire me! Alone almost inside.,0,gratitude,reaction
lmfao go kys Push section along space.,1,hate speech,hate speech
wtf fr wtf respect fr General minute raise.,0,encouragement,funny
deadass idk get lost Happen across free.,1,sexual harassment,sexual harassment
yikes wtf fr ugly af Paper hear want.,1,sexual harassment,sexual harassment
lmfao lmfao this hits Middle strategy.,0,joke,neutral
idk no one listens to losers like you Many own.,1,hate speech,hate speech
lol 🤡 so thoughtful! Language beat.,0,support,neutral
nah 💀 fr you’re a legend for this Policy everybody hear.,0,gratitude,reaction
deadass nah bruh this hits Both professor market.,0,encouragement,reaction
bruh bruh bruh retard All why attack.,1,passive aggression,passive aggression
lol 😭 😭 made my day Fish though close.,0,gratitude,neutral
wtf idiot Write during.,1,insult,insult
💅 yikes nobody likes you Though moment.,1,dark humor,dark humor
wtf 😭 bruh this hits Type identify husband.,0,encouragement,funny
😂 💅 you’re a legend for this Quickly.,0,support,reaction
💅 deadass 🤡 that’s deep System direction.,0,reaction,neutral
😭 wtf 🤡 worthless Fear west.,1,hate speech,hate speech
💀 appreciate this Control main risk.,0,encouragement,funny
😭 go kys Guy minute sign.,1,hate speech,hate speech
wtf clown Attack.,1,sexual harassment,sexual harassment
lmfao idk appreciate this Base sing.,0,encouragement,neutral
bruh nah idk this is trash Still local.,1,dark humor,dark humor
bruh so thoughtful! Treat fish.,0,encouragement,neutral
deadass built like a fridge Note determine.,1,dark humor,dark humor
lmfao go kys Particular hold provide.,1,threat,threat
😭 made my day Throw cost wall opportunity.,0,joke,funny
fr 💀 lmfao this is trash Pick.,1,insult,insult
bruh this hits Growth data.,0,support,reaction
lol bruh this hits Size particularly nor.,0,reaction,reaction
💀 💅 why are you even speaking? Scientist.,1,insult,insult
bruh 🤡 😂 no one cares about your opinion A including human child.,1,insult,insult
wtf nah love this Order Mrs try little.,0,reaction,reaction
yikes 🤡 lmfao respect fr Station down.,0,joke,positive opinion
"bruh this was really helpful, thanks Spend oil music.",0,reaction,reaction
💅 bruh bruh you’re a legend for this Note but recognize.,0,support,funny
lmfao yikes ugly af Big focus.,1,dark humor,dark humor
fr idk go touch grass North single leader.,1,dark humor,dark humor
deadass lol 😭 built like a fridge Thousand successful.,1,hate speech,hate speech
deadass bruh clown Star billion explain.,1,threat,threat
lmfao 💀 deadass why are you even speaking? Officer available nice.,1,dark humor,dark humor
idk fr 😂 so thoughtful! Rise energy investment.,0,gratitude,funny
nah 🤡 fr retard Follow pull some.,1,dark humor,dark humor
idk clown Away different third.,1,dark humor,dark humor
bruh ugly af Attention month sea.,1,threat,threat
deadass deadass 😭 that’s deep Pay cut smile.,0,neutral,neutral
idk fr lmfao this is wholesome Involve wish owner.,0,gratitude,positive opinion
😂 you're a joke Begin offer.,1,threat,threat
💀 lmfao built like a fridge Start her.,1,dark humor,dark humor
idk that’s deep Husband instead seem.,0,reaction,neutral
💅 😭 fat pig Wife main.,1,insult,insult
bruh fr 😂 you inspire me! Away including probably.,0,encouragement,funny
💅 this is trash Yourself peace build.,1,threat,threat
idk you inspire me! Yet two.,0,joke,neutral
idk go kys Our partner.,1,sexual harassment,sexual harassment
wtf lmfao fat pig Phone I.,1,threat,threat
😭 you inspire me! Here color certain.,0,joke,neutral
nah go kys Yet per available direction.,1,hate speech,hate speech
"🤡 this was really helpful, thanks Upon stay think statement.",0,joke,reaction
nah idk that’s deep Southern wear.,0,encouragement,neutral
lmfao you inspire me! Computer newspaper.,0,joke,positive opinion
nah lol no one listens to losers like you Spend simply type.,1,insult,insult
lmfao nah that’s deep Thing reason.,0,reaction,neutral
"wtf this was really helpful, thanks Role add.",0,reaction,reaction
💅 bruh so thoughtful! Life miss.,0,encouragement,neutral
nah fr 💀 idiot Knowledge reach image.,1,insult,insult
nah lmfao so thoughtful! Skill mean.,0,gratitude,positive opinion
😭 you’re a legend for this Player add prove.,0,neutral,reaction
😭 fat pig Write.,1,insult,insult
deadass 😭 💀 no one listens to losers like you Example action despite.,1,sexual harassment,sexual harassment
😭 idk idk ugly af Fight among.,1,passive aggression,passive aggression
idk nah wtf go kys Vote name possible.,1,insult,insult
💀 😂 wtf retard Represent now couple.,1,passive aggression,passive aggression
bruh fr this is trash Recently allow up.,1,sexual harassment,sexual harassment
deadass 💅 why are you even speaking? Main occur end.,1,passive aggression,passive aggression
idk so thoughtful! Budget try management.,0,gratitude,funny
😭 idk love this Short.,0,gratitude,positive opinion
fr lol idk respect fr Or.,0,reaction,neutral
fr nah yikes made my day Example.,0,joke,neutral
deadass nah 💀 respect fr Past where while.,0,reaction,funny
wtf fr fr you inspire me! Thus.,0,neutral,positive opinion
yikes 🤡 😭 worthless Since say.,1,threat,threat
yikes lol fr idiot Seem data into.,1,insult,insult
yikes respect fr Study every high.,0,joke,positive opinion
💀 nah nobody likes you Enough each his.,1,insult,insult
🤡 nobody likes you Thing much throw actually.,1,passive aggression,passive aggression
🤡 nah retard Enough region.,1,threat,threat
bruh idk nah respect fr Sure thank develop race.,0,joke,neutral
😂 made my day Between issue.,0,neutral,neutral
💅 deadass deadass this is wholesome Mouth fear fund.,0,support,neutral
lmfao made my day Mrs science.,0,joke,neutral
lol idk nah built like a fridge Draw office computer allow.,1,threat,threat
yikes deadass love this Push away order.,0,gratitude,neutral
nah 🤡 fr you’re a legend for this Lose occur site.,0,gratitude,positive opinion
yikes you’re a legend for this Main head region.,0,joke,reaction
nah nah so thoughtful! View brother.,0,joke,neutral
idk wtf deadass this is wholesome Magazine herself source.,0,encouragement,neutral
😂 you’re a legend for this Simple child.,0,reaction,reaction
deadass nah nobody likes you Her really.,1,insult,insult
😭 😭 wtf ugly af Camera certain garden.,1,hate speech,hate speech
yikes deadass nah ugly af Increase during owner.,1,threat,threat
lol you're a joke Forward American.,1,dark humor,dark humor
💀 fr that’s deep Although safe member.,0,joke,funny
💅 appreciate this National data huge.,0,neutral,positive opinion
yikes idk that’s deep Billion policy born.,0,encouragement,neutral
lol idk idk idiot Kid right but.,1,hate speech,hate speech
😂 🤡 idiot Might together half.,1,hate speech,hate speech
💅 deadass lmfao made my day Low news base.,0,reaction,neutral
lmfao built like a fridge Other from.,1,hate speech,hate speech
💅 fat pig Theory individual.,1,threat,threat
lmfao bruh 😭 that’s deep Difference yard.,0,support,reaction
bruh 💅 love this Hand something series.,0,joke,reaction
💅 yikes nah built like a fridge Police article answer.,1,passive aggression,passive aggression
wtf 💀 fr so thoughtful! Later benefit.,0,joke,positive opinion
idk 😭 that’s deep Around first.,0,encouragement,reaction
😂 🤡 fr this hits Fund throw.,0,gratitude,positive opinion
fr fr respect fr Low half follow.,0,support,funny
idk 🤡 🤡 you inspire me! Voice reality.,0,support,reaction
deadass idk made my day Surface son.,0,reaction,reaction
yikes fr 💀 this is trash Almost operation.,1,threat,threat
yikes wtf lol retard Say TV article.,1,passive aggression,passive aggression
deadass idk 💀 appreciate this Friend can doctor life.,0,joke,neutral
lmfao idk ugly af Rise onto hard hope.,1,sexual harassment,sexual harassment
lmfao 😭 go touch grass Nor state.,1,threat,threat
deadass yikes that’s deep Set wait score around.,0,joke,positive opinion
💅 so thoughtful! Kid skill would.,0,encouragement,funny
bruh 😂 fr go kys Across each.,1,sexual harassment,sexual harassment
lol lmfao go touch grass Specific population rule especially.,1,hate speech,hate speech
lmfao bruh bruh respect fr Official attention boy.,0,neutral,positive opinion
yikes you’re a legend for this Letter bag country.,0,reaction,reaction
yikes 😭 fat pig Entire.,1,threat,threat
😭 go kys Store quickly.,1,sexual harassment,sexual harassment
😂 😭 idk you inspire me! Force.,0,gratitude,positive opinion
"💅 yikes wtf this was really helpful, thanks Mention sign they.",0,reaction,funny
idk retard Night break sister.,1,hate speech,hate speech
bruh no one cares about your opinion Into none no.,1,passive aggression,passive aggression
nah bruh yikes appreciate this Support arm.,0,reaction,reaction
fr 😂 worthless Exactly no cost.,1,dark humor,dark humor
lmfao wtf yikes why are you even speaking? Nature energy.,1,sexual harassment,sexual harassment
"😂 💅 this was really helpful, thanks Indeed fill.",0,encouragement,funny
lol why are you even speaking? Occur or.,1,passive aggression,passive aggression
bruh you’re a legend for this Enter technology.,0,support,reaction
lol 😭 nobody likes you Attention.,1,hate speech,hate speech
😂 lol get lost Even money realize.,1,dark humor,dark humor
💀 bruh 😂 built like a fridge Fish although truth.,1,hate speech,hate speech
🤡 yikes respect fr Bit tell.,0,encouragement,funny
bruh appreciate this Sure carry theory marriage.,0,joke,reaction
😭 lol this is trash Camera call dark.,1,insult,insult
😭 love this Baby operation threat.,0,neutral,reaction
yikes idk 🤡 that’s deep Case live.,0,neutral,reaction
😂 yikes clown They big research.,1,dark humor,dark humor
😂 🤡 lmfao that’s deep He available.,0,encouragement,reaction
lol 💅 retard Do type somebody.,1,hate speech,hate speech
💅 go touch grass Reduce sense politics.,1,hate speech,hate speech
idk get lost Return although central.,1,insult,insult
lmfao fat pig Force anyone building.,1,passive aggression,passive aggression
fr yikes fat pig Hold story bed.,1,hate speech,hate speech
🤡 bruh lmfao this hits Inside important.,0,support,positive opinion
😂 idk idk this is trash Debate base.,1,threat,threat
lol 😂 deadass made my day Opportunity.,0,neutral,neutral
